start,end,deviceid,com_select,engagement_datetime,engagement_venue,num_male,num_female,criteria1_name,criteria2_name,criteria3_name,criteria4_name,criteria5_name,num_fgd,fgd_selectedfgd1,fgd_selectedfgd2,fgd_selectedfgd3,fgd_selectedfgd4,fgd_selectedfgd5,fgd_selectedfgd6,fgd_selectedfgd7,fgd_selectedfgd8,total_pvhh,latitude,longitude,altitude,precision,_uuid,_submission_time,_index,communityid,SNO,state,lga,ward,community_name,state_shp,lga_shp,ward_shp,community
18mar2026,20mar2026,collect:eCurZ1qcZhk1dJSp,1000211,18mar2026,Village square,58,92,Lack of health facilities,Lack of social amenities,Lack of mechanised system of farming,Lack of employment opportunities for the youth,Lack of educational equipments in the school,3,0,1,1,1,0,0,0,0,150,5.8168268,7.6755865,92.87878418,4.639,576304fe-dc59-482d-b8cb-3210baa8aa9c,21mar2026,16,1000211,236,ABIA,BENDE,ITEM  WARD  C,OKAI,2016. ABIA,23318. BENDE,46. ITEM C,1000211. OKAI
19mar2026,23mar2026,collect:eCurZ1qcZhk1dJSp,1000217,19mar2026,NDI OGO,8,20,LACK OF HEALTH FACILITIES,LACK OF SOCIAL AMENITIES,LACK OF MACHNIZED FARMING SYSTEM,LACK OF EDUCATIONAL EQUIPMENT IN THE SCHOOL,LACK OF EMPLOYMENT OPPORTUNITIES FOR THE YOUTH,3,0,1,1,1,0,0,0,0,45,5.7931068,7.6828994,72.65234375,4.853,d4f9e29f-d981-4584-b9bd-64aa3a75932a,23mar2026,23,1000217,232,ABIA,BENDE,ITEM  WARD  C,UMUAKPA NDI-OGO,2016. ABIA,23318. BENDE,46. ITEM C,1000217. UMUAKPA NDI-OGO
28mar2026,03apr2026,collect:GVJ1ckNc0x6DEiu2,1000277,28mar2026,AGBOIYI VILLAGE SQUARE,45,59,LACK OF ELECTRICITY,LACK NOT GOOD WATER,NO ACCESS ROAD TO FARM LAND,NEED FOR AGRICULTURAL GRANT,NEED HEALTH FACILITY,3,0,1,1,1,0,0,0,0,104,5.7873669,7.605718,95.5592041,4.645,73293547-65c2-49c9-b0e7-5d43000e8d3f,03apr2026,69,1000277,334,ABIA,BENDE,UGWUEKE/EZEUKWU,AGBOIYI,2016. ABIA,23318. BENDE,43. UGWUEKE/EZEUKWU,1000277. AGBOIYI
30mar2026,03apr2026,collect:GVJ1ckNc0x6DEiu2,1000280,30mar2026,AMABA COMMUNITY HALL,60,45,LACK OF GOOD WATER,LACK OF ELECTRICITY,NEED HEALTH FACILITY,NO ACCESS TO FARM LAND,NEED AGRICULTURAL GRANTS,3,0,1,1,1,0,0,0,0,106,5.8271902,7.6227377,100.0489501953125,4.931,4e3e89fc-9c8f-4886-aab6-1482813c0286,03apr2026,70,1000280,328,ABIA,BENDE,UGWUEKE/EZEUKWU,AMABA,2016. ABIA,23318. BENDE,43. UGWUEKE/EZEUKWU,1000280. AMABA
27mar2026,30mar2026,collect:GVJ1ckNc0x6DEiu2,1000286,27mar2026,AMAKWU EZEUKWU VILLAGE HALL,62,64,LACK OF GOOD ROAD,LACK OF GOOD WATER,NO ACCESS TO HEALTH FACILITY,NEED GOVERNMENT INTERVENTION ON INFRASTRUCTURE,NEED AGRICULTURAL GRANTS,3,0,1,1,1,0,0,0,0,126,5.8053795,7.5611362,94.06024169921875,4.824,ec7977a5-2f8a-4eb9-b3ab-4e5a51ca046e,30mar2026,62,1000286,331,ABIA,BENDE,UGWUEKE/EZEUKWU,AMAKWU,2016. ABIA,23318. BENDE,43. UGWUEKE/EZEUKWU,1000286. AMAKWU
17mar2026,17mar2026,collect:GVJ1ckNc0x6DEiu2,1000291,17mar2026,Amanta community Hall,27,51,Lack of electricity,Lack of good water,No access road to farmland,Need for agricultural grants,Need government intervention infrastructure,3,0,1,1,1,0,0,0,0,78,5.8222683,7.6260697,93.79156494140625,4.931,bb03e3da-7e83-45d0-a6a0-41ea4d218674,17mar2026,1,1000291,329,ABIA,BENDE,UGWUEKE/EZEUKWU,AMANTA,2016. ABIA,23318. BENDE,43. UGWUEKE/EZEUKWU,1000291. AMANTA
25mar2026,30mar2026,collect:GVJ1ckNc0x6DEiu2,1000303,25mar2026,NDI AGBO VILLAGE HALL,57,105,LACK OF GOOD WATER,LACK OF ELECTRICITY,NO ACCESS ROAD TO FARM ROAD,NEED GOVT INTERVENTION TO INFRASTRUCTURE,NEED AGRICULTURE GRANTS,3,0,1,1,1,0,0,0,0,93,5.8317553,7.62495,64.42401123046875,4.073,540dd5d5-4794-46f0-be79-280a3b58979f,30mar2026,61,1000303,330,ABIA,BENDE,UGWUEKE/EZEUKWU,NDI-AGBO,2016. ABIA,23318. BENDE,43. UGWUEKE/EZEUKWU,1000303. NDI-AGBO
21mar2026,25mar2026,collect:Nh2HWxq6IuYDbDFj,1000417,,,54,58,FAMILY MEMBERS CAN NOT GET TREATMENT WHEN SICK,THERE IS HUNGER IN THE HOME,HOUSE IS LEAKING,NO CLEAN WATER AND GOOD TOILET,NO STEADY WORK,2,0,1,1,1,0,0,0,0,112,5.4409423,7.6146456,111.9623413085938,4.288,7d84a4bb-6f15-4cf1-a7c5-250284aeeedb,25mar2026,37,1000417,428,ABIA,IKWUANO,IBERE I,AGBAMA-MGBOKO-AGBOMIRI,2016. ABIA,23319. IKWUANO,55. IBERE I,1000417. AGBAMA-MGBOKO-AGBOMIRI
30mar2026,31mar2026,collect:Nh2HWxq6IuYDbDFj,1000419,,,17,38,LACK OF GOOD DRINKING WATER,POOR LIVING STANDARD,HIGH LEVEL OF UNEMPLOYMENT,HUNGER IN THE LAND,LACK OF FUNCTIONAL HEALTH FACILITIES,3,0,1,1,1,0,0,0,0,54,5.4316608,7.611333,120.8037719726562,3.216,579e1245-2c1e-45e2-b8f3-474e06c87084,31mar2026,66,1000419,430,ABIA,IKWUANO,IBERE I,EBO NA NKWOCHA,2016. ABIA,23319. IKWUANO,55. IBERE I,1000419. EBO NA NKWOCHA
16mar2026,29mar2026,collect:Nh2HWxq6IuYDbDFj,1000420,,,15,29,NO CLEAN DRINKING WATER,LACK OF WORK,BAD ROAD NETWORK,HUNGER IN THE FAMILY,NO HEALTH FACILITIES,3,0,1,1,1,0,0,0,0,44,5.4306079,7.6164528,117.2560424804688,4.288,70094a81-fbc2-432c-b0c3-48c68b5d08a7,30mar2026,60,1000420,431,ABIA,IKWUANO,IBERE I,ISIALA,2016. ABIA,23319. IKWUANO,55. IBERE I,1000420. ISIALA
23mar2026,26mar2026,collect:Nh2HWxq6IuYDbDFj,1000421,,,31,54,POOR STANDARD OF LIVING,HOUSE IS LEAKING,NO STEADY WORK,NO CLEAN WATER,THE FACE DISCRIMINATION,2,0,1,1,1,0,0,0,0,85,5.4673567,7.5855567,154.4713134765625,4.502,fdf8dcf3-1530-4382-be80-63b9ca101c42,26mar2026,41,1000421,432,ABIA,IKWUANO,IBERE I,NGODO,2016. ABIA,23319. IKWUANO,55. IBERE I,1000421. NGODO
31mar2026,01apr2026,collect:Nh2HWxq6IuYDbDFj,1000422,,,16,18,BAD ROAD NETWORK,NO ELECTRICITY,LACK OF HEALTH FACILITIES,NO GOOD DRINKING WATER,POOR FEEDING,3,0,1,1,1,0,0,0,0,34,5.4648599,7.6283025,66.0904541,4.824,24a9c8db-a4b8-4810-8ab6-b3bda84a406b,01apr2026,67,1000422,433,ABIA,IKWUANO,IBERE I,OBUORO-UMUISERENGAJI,2016. ABIA,23319. IKWUANO,55. IBERE I,1000422. OBUORO-UMUISERENGAJI
23mar2026,28mar2026,collect:fT6glYSGIgpP33Sk,1000427,23mar2026,TOWN HALL,11,15,The Head of the family,The widows and widowers,The people with disabilities,Strangers living in the community,Orphan living in the community,162,1,1,1,1,0,0,0,0,27,5.4681717,7.5733283,167.7,4.783,d5a2211c-7525-4270-b209-d769b4db070c,28mar2026,52,1000427,436,ABIA,IKWUANO,IBERE I,UMUORIE,2016. ABIA,23319. IKWUANO,55. IBERE I,1000427. UMUORIE
19mar2026,26mar2026,collect:8vUkfyctFb2a55p9,1000429,19mar2026,COMMUNITY HALL,6,2,All eligible orphans who are poor will register,People with disabilities in our community will register,Youth who are unemployed and eligible will do register,Widows and widowers who are eligible will register,Father as the Head of the family,4,1,1,1,1,0,0,0,0,8,5.436215,7.5852183,116.5,4.5,590b2d13-b47e-4780-be4f-ed8f0d4a677e,26mar2026,49,1000429,444,ABIA,IKWUANO,IBERE II,AGBOMIRI,2016. ABIA,23319. IKWUANO,56. IBERE II,1000429. AGBOMIRI
18mar2026,26mar2026,collect:8vUkfyctFb2a55p9,1000430,18mar2026,NGWUGWO MARKET SQUARE.,26,44,Father as the Head of the household,Mother takes on the role of the Head of the family when father passes away,All eligible individuals with disabilities are encouraged to register,Youths who have recently married and who live and feed on their own can register,Any family who are not from the community but live within the community can register,3,1,1,1,1,0,0,0,0,71,5.4424558,7.5854197,225.5,4.95,a159f349-17d2-4696-beeb-0782a9ac39a7,26mar2026,48,1000430,445,ABIA,IKWUANO,IBERE II,AMAKIRI-MBIOGWUGWU-AGBINMIRI,2016. ABIA,23319. IKWUANO,56. IBERE II,1000430. AMAKIRI-MBIOGWUGWU-AGBINMIRI
21mar2026,31mar2026,collect:fT6glYSGIgpP33Sk,1000431,21mar2026,Village square,7,8,Head of the family,Widow and widowers,Orphan are eligible to register,Strangers living in our community,People with disabilities,112,1,1,1,1,0,0,0,0,15,5.4477733,7.59827,124.1,4.975,d6c5b440-1ce0-46ae-b6f4-a01d0eec343d,31mar2026,64,1000431,446,ABIA,IKWUANO,IBERE II,EZECHI-IYALU,2016. ABIA,23319. IKWUANO,56. IBERE II,1000431. EZECHI-IYALU
21mar2026,26mar2026,collect:8vUkfyctFb2a55p9,1000433,21mar2026,Village square,16,14,Head of the family,Widows and widowers,Ophans are eligible to register,Strangers living in our community,People with disabilities,110,1,1,1,1,0,0,0,0,30,5.4477508,7.5983498,89.40000000000001,4.666,b2b1d2c8-a5d7-482e-adb8-1c7e9c887778,26mar2026,50,1000433,448,ABIA,IKWUANO,IBERE II,EZIAMA-EZECHI-UMUADIBIA-NMUAKAN,2016. ABIA,23319. IKWUANO,56. IBERE II,1000433. EZIAMA-EZECHI-UMUADIBIA-NMUAKAN
19mar2026,02apr2026,collect:fT6glYSGIgpP33Sk,1000435,19mar2026,Community town hall,5,6,All eligible poor orphan will register,People with disabilities in our community will register,Youth who are unemployed and eligible will register,Widow and widowers can be registered,Father as the head of the family,4,1,1,1,1,1,0,0,0,11,5.4361924,7.5853176,132.1,4.48,cbacd2e8-b8c0-469e-bf6b-8d6898db9d21,02apr2026,68,1000435,450,ABIA,IKWUANO,IBERE II,EZIEKE-EZIUKWU-NDAGBO,2016. ABIA,23319. IKWUANO,56. IBERE II,1000435. EZIEKE-EZIUKWU-NDAGBO
17mar2026,26mar2026,collect:uhO8IsbNeFcw8txu,1000441,17mar2026,UMUEMENIKE VILLAGE HALL,22,31,OUT OF SCHOOL,NO EASY ACCESS TO GOOD HEALTH,BY SEEKING ADEVICE FROM VILLAGE HEADS,BY NOT HAVING A GOOD ROAD,THOSE WHO DOES NOT HAVE FOOD TO EAT,4,0,0,0,1,1,1,0,1,53,5.4494858,7.6381362,56.37365723,4.502,72aad004-770e-4e31-b596-e47f33b81c05,26mar2026,42,1000441,455,ABIA,IKWUANO,IBERE II,UMUEMENIKE,2016. ABIA,23319. IKWUANO,56. IBERE II,1000441. UMUEMENIKE
17mar2026,31mar2026,collect:fT6glYSGIgpP33Sk,1000444,17mar2026,Market square,27,14,Father as the family head,Mother becomes the head of the family when father is no more,All eligible disabled will be considered,Youth newly married can register as a household,Strangers within the community can also be considered,3,0,1,1,1,0,0,0,0,41,5.4476686,7.6086239,125.8,4.76,d5161c42-2365-4c2d-a288-8d1cf1f1b0b9,31mar2026,63,1000444,441,ABIA,IKWUANO,IBERE II,UMUGO-UMUCHITA,2016. ABIA,23319. IKWUANO,56. IBERE II,1000444. UMUGO-UMUCHITA
25mar2026,31mar2026,collect:NeKkkM33hKrBD2Of,1000708,25mar2026,VILLAGE SQUARE,34,37,NO GOOD ACCESS ROAD,NO GOOD HEALTH CENTRE,NO ELECTRICITY,NO CLEAN WATER,NO ACCESS TO GOOD SCHOOL,3,0,1,1,1,0,0,0,0,73,5.83809,7.4459434,123.5563965,4.931,9b089cca-a5cf-46e9-a607-fce82d941b05,31mar2026,65,1000708,731,ABIA,ISUIKWUATO,IKEAGHA I,AMACHI,2016. ABIA,23322. ISUIKWUATO,86. IKEAGHA I,1000708. AMACHI
18mar2026,19mar2026,collect:NeKkkM33hKrBD2Of,1000713,18mar2026,AMAOSE VILLAGE SQUARE,62,71,NO GOOD ACCESS ROAD,NO ELECTRICITY,NO GOOD WATER,NO GOOD HEALTH CENTRE,NO GOOD FUNCTIONAL SCHOOL,3,0,1,1,1,0,0,0,0,133,5.8379606,7.4426872,124.1477661132812,4.645,b749d41a-cfaf-4283-b68f-ab3ea788d11f,19mar2026,4,1000713,733,ABIA,ISUIKWUATO,IKEAGHA I,AMAOSE,2016. ABIA,23322. ISUIKWUATO,86. IKEAGHA I,1000713. AMAOSE
01apr2026,01apr2026,collect:NeKkkM33hKrBD2Of,1000718,31mar2026,OGWEAMA OWERETE,18,11,NO ACCESS ROAD,NO ELECTRICITY,NO GOOD HEALTH CENTRE,NO GOOD SCHOOL,NO GOOD WATER,3,0,1,1,1,0,0,0,0,29,5.8342343,7.4423754,133.8735352,4.824,2826c898-18a0-4a04-bd1a-b833cbf2ac21,08apr2026,75,1000718,732,ABIA,ISUIKWUATO,IKEAGHA I,OWERETE,2016. ABIA,23322. ISUIKWUATO,86. IKEAGHA I,1000718. OWERETE
18mar2026,18mar2026,collect:YYSM5RQv6NZpq3Ee,1000719,18mar2026,OWERETE HALL,28,34,NO ACCESSIBLE ROAD,NO ACCESSIBLE TO WATER,POOR HEALTHCARE,NO ACCSSEABLE EDUCATION,DISPLACEMENT,8,1,1,1,1,1,1,1,1,57,5.8334331,7.4418749,125.9929809570312,4.645,e65eb68c-7c83-4c32-a83b-c9b5032f872b,19mar2026,3,1000719,734,ABIA,ISUIKWUATO,IKEAGHA I,OWERETE AKPUKPA,2016. ABIA,23322. ISUIKWUATO,86. IKEAGHA I,1000719. OWERETE AKPUKPA
19mar2026,25mar2026,collect:NeKkkM33hKrBD2Of,1000720,19mar2026,UMUCHIOKE VILLAGE SQUARE,37,66,NO ACCESS ROAD,NO ELECTRICITY,NO FUNCTIONAL HEALTH CENTRE,NO CLEAN WATER,NO GOOD SCHOOLS,3,0,1,1,1,0,0,0,0,103,5.8361592,7.4412604,137.8466797,4.931,3ea80322-cb3a-4cd3-92d9-579f452dce3d,25mar2026,36,1000720,730,ABIA,ISUIKWUATO,IKEAGHA I,UMUCHIOKE,2016. ABIA,23322. ISUIKWUATO,86. IKEAGHA I,1000720. UMUCHIOKE
26mar2026,20apr2026,collect:YYSM5RQv6NZpq3Ee,1000721,26mar2026,UMUOKWE,49,100,NO ELECTRICITY,NO ACCESSIBILITY TO GOOD WATER,NO ACCESS TO EDUCATION,NO LIVING CONDITION,DISPLACEMENT,3,0,1,1,1,0,0,0,0,149,5.8482561,7.4917216,112.2460938,4.716,59e6bbea-6d2f-4b62-8382-4704a764f4cd,20apr2026,78,1000721,728,ABIA,ISUIKWUATO,IKEAGHA I,UMUOKWE,2016. ABIA,23322. ISUIKWUATO,86. IKEAGHA I,1000721. UMUOKWE
01apr2026,01apr2026,collect:NeKkkM33hKrBD2Of,1000722,01apr2026,OGWEAMA UMUOROTO,26,22,NO GOOD HEALTH CENTRE,NO GOOD WATER,NO GOOD SCHOOL,NO ACCESS ROAD,NO ELECTRICITY,3,0,1,1,1,0,0,0,0,48,5.8317351,7.4433261,124.4205322265625,4.931,cd9649ec-b7fc-429e-b12d-6c25d13f8d32,08apr2026,74,1000722,729,ABIA,ISUIKWUATO,IKEAGHA I,UMUOROTO,2016. ABIA,23322. ISUIKWUATO,86. IKEAGHA I,1000722. UMUOROTO
20mar2026,20mar2026,collect:YYSM5RQv6NZpq3Ee,1000760,20mar2026,AGBO EZI HALL,39,58,NO ACCESS TO WATER,LACK OF HEALTH CARE,NO ELECTRICITY,No ACCESS ROAD,DISPLACEMENT,3,1,1,1,1,0,0,0,0,97,5.7315703,7.4809024,212.7017822265625,4.109,65be7f64-54d3-492d-aafd-c799b970ee8d,20mar2026,6,1000760,788,ABIA,ISUIKWUATO,ISUAMAWU,AGBO EZI,2016. ABIA,23322. ISUIKWUATO,82. ISU AMAWU,1000760. AGBO EZI
25mar2026,25mar2026,collect:NFlsWj9U7w24mD12,1000761,25mar2026,UMUAMA HALL,94,93,LACK OF WATER SUPPLY,FEEDER ROADS,NO HEAITH CENTER,SKILL Acquisition,LACK OF POWER SUPPLY,3,0,1,1,1,0,0,0,0,187,5.7467879,7.4637082,254.6660156,3.859,6c851676-8cbe-418d-94e7-1e01e707966a,25mar2026,38,1000761,776,ABIA,ISUIKWUATO,ISUAMAWU,EKEBE NA UMUAMA,2016. ABIA,23322. ISUIKWUATO,82. ISU AMAWU,1000761. EKEBE NA UMUAMA
23mar2026,23mar2026,collect:NFlsWj9U7w24mD12,1000763,23mar2026,VILLAGE SQUARE,46,49,LACK OF ACCESS ROADS,ELECTRICITY,LACK OF HOSPITAL AND HEALTH CENTER,LACK OF PRIMARY AND SECONDARY OVER DECADES,SUPPORT FOR IRRIGATION,3,0,1,1,1,0,0,0,0,95,5.749826,7.4301676,225.9000244140625,4.466,4c01fca6-c671-454e-852c-2adcd2748bb1,23mar2026,18,1000763,785,ABIA,ISUIKWUATO,ISUAMAWU,NDI OGU/IGIDIYIM,2016. ABIA,23322. ISUIKWUATO,82. ISU AMAWU,1000763. NDI OGU/IGIDIYIM
18mar2026,20mar2026,collect:NFlsWj9U7w24mD12,1000766,17mar2026,OBODO HALL,56,48,SUPPORT US FOR IRRIGATION,SUPPORT US MECHANIZATION,RECREATION FACILITIES,FEEDER ROAD,ELECTRICITY,3,0,1,1,1,0,0,0,0,104,5.7383782,7.4678432,251.2266845703125,4.931,ca2b6777-6196-43d1-b1b1-63e730c33aac,23mar2026,20,1000766,784,ABIA,ISUIKWUATO,ISUAMAWU,OBODO,2016. ABIA,23322. ISUIKWUATO,82. ISU AMAWU,1000766. OBODO
19mar2026,20mar2026,collect:NFlsWj9U7w24mD12,1000773,18mar2026,EZUMEZU EMOKO HALL,44,80,NONE ACCESSIBLE GOOD ROAD,NO HEALTH FACILITY,FEEDER ROADS,IRREGULARITIES OF POWER SUPPLY,POOR HEALTH CARE FACILITY,3,0,1,1,1,0,0,0,0,156,5.7187116,7.4690696,222.7997436523438,4.288,ee879e09-75ab-4206-a737-029621aab264,23mar2026,21,1000773,781,ABIA,ISUIKWUATO,ISUAMAWU,UMUEMOKO,2016. ABIA,23322. ISUIKWUATO,82. ISU AMAWU,1000773. UMUEMOKO
18mar2026,18mar2026,collect:NFlsWj9U7w24mD12,1000773,18mar2026,EZUMEZU EMOKO HALL,44,80,ELECTRICITY,FEEEDER ROAD,HEAITH FACILITY,RECREATION FACILITY,SKILL ACQUISITION,3,0,1,1,1,0,0,0,0,156,5.7191028,7.4689389,193.9033203,3.43,87f73226-e3f3-47cd-b03a-4f1b2d2a5078,23mar2026,19,1000773,781,ABIA,ISUIKWUATO,ISUAMAWU,UMUEMOKO,2016. ABIA,23322. ISUIKWUATO,82. ISU AMAWU,1000773. UMUEMOKO
19mar2026,20apr2026,collect:YYSM5RQv6NZpq3Ee,1000776,19mar2026,VILLAGE HALL,35,39,NO HEALTHCARE,NO ELECTRICITY,NO ACCESSIBLE WATER,NO ACCESSIBLE ROAD,DISPLACEMENT,3,0,1,1,1,0,0,0,0,74,5.7320741,7.4807332,220.0536499023438,4.716,19976592-4f5b-441b-af09-f1967171848d,20apr2026,79,1000776,787,ABIA,ISUIKWUATO,ISUAMAWU,UMUNTEJE,2016. ABIA,23322. ISUIKWUATO,82. ISU AMAWU,1000776. UMUNTEJE
20mar2026,20mar2026,collect:NFlsWj9U7w24mD12,1000779,20mar2026,UMUSOO WEIFARE UNIONS HALL,44,67,POOR POWER SUPPLY, POOR HEALTH FACILITY,POOR WATER SUPPLY,FEEDER ROAD,POOR IRRIGATION,3,0,1,1,1,0,0,0,0,111,5.7377519,7.4628567,249.2150879,4.716,e24e86ba-61df-4a3b-a957-8f25319dd6cb,20mar2026,7,1000779,783,ABIA,ISUIKWUATO,ISUAMAWU,UMUSOO,2016. ABIA,23322. ISUIKWUATO,82. ISU AMAWU,1000779. UMUSOO
09apr2026,09apr2026,collect:5HWJOxgNGPn0DayK,1000864,09apr2026,Nkpukpuakanta Village square,52,54,Low income ,Malnutrition,Poor Housing,Low Access to Healthcare,Unemployment,4,0,1,1,1,1,0,0,0,106,4.9487408,7.4868714,77.17346191,3.752,1ba55dd0-309f-4ec9-9835-f56a21a91a39,09apr2026,76,1000864,884,ABIA,UKWA EAST,AZUMINI,NKPUOKE AMANTA,2016. ABIA,23327. UKWA EAST,140. AZUMINI,1000864. NKPUOKE AMANTA
